company_name,input_entity_type,canonical_company_name,na_entity_name,step1_active,step2_north_america,step3_relevant,step4_ats_sql_fit,gpt_decision,categories,confidence,rationale,prompt_version,model,checked_at
ACM Research,company,"ACM Research, Inc.",,yes,yes,yes,yes,yes,semiconductor foundry or manufacturing process,0.94,"Resolves to ACM Research, Inc.; it is an active semiconductor wafer-processing equipment company with US presence and good relevance for manufacturing-process roles.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Acoustic Research,company,"Acoustic Research, Inc.",,yes,yes,no,no,no,,0.84,"Resolves to Acoustic Research, Inc.; despite being an active consumer audio brand/company in North America, it is not meaningfully aligned to the target VLSI/semiconductor hardware categories.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
ACRO Automation Systems,company,"ACRO Automation Systems, Inc.",,yes,yes,no,no,no,,0.81,"Resolves to ACRO Automation Systems, Inc.; it is an active industrial automation integrator in North America but not a strong fit for semiconductor/VLSI ATS seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
ACS Motion Control Inc.,company,ACS Motion Control Ltd.,ACS Motion Control Inc.,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.82,"Resolves to ACS Motion Control Ltd.; it has ACS Motion Control Inc. in North America and some embedded/motion-control hardware relevance, but it is not a strong ATS seed for core VLSI/semiconductor hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Actelis Networks,company,"Actelis Networks, Inc.",,yes,yes,yes,no,no,computer/server/datacenter/networking hardware;embedded systems,0.83,"Resolves to Actelis Networks, Inc.; it is an active US networking equipment company with hardware relevance, but likely too small and peripheral for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Active Silicon Limited,company,Active Silicon Limited,,yes,no,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design,0.72,"Resolves to Active Silicon Limited; it makes machine-vision/frame-grabber hardware, but I lack concrete knowledge of a meaningful US/Canada hiring entity and it appears too niche for ATS seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Acuity Brands,company,"Acuity Brands, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design,0.8,"Resolves to Acuity Brands, Inc.; it is an active large US lighting/building-tech company with some embedded electronics relevance, but it is not a core VLSI/semiconductor employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Aculab plc,company,Aculab PLC,,yes,no,no,no,no,,0.76,Resolves to Aculab PLC; it is primarily a telecom software/voice-processing company and I lack concrete North America hiring presence for precision inclusion.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adafruit Industries LLC,company,Adafruit Industries LLC,,yes,yes,yes,yes,yes,embedded systems;firmware;FPGA;analog or digital design,0.85,Resolves to Adafruit Industries LLC; it is an active US electronics hardware company with embedded/FPGA relevance and a meaningful enough employer brand for ATS use.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adams Magnetic Products Co.,company,Adams Magnetic Products Co.,,yes,yes,no,no,no,,0.84,Resolves to Adams Magnetic Products Co.; it is an active magnetic materials/components supplier in North America but not a target VLSI/semiconductor design employer.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adapteva,company,"Adapteva, Inc.",,yes,yes,yes,no,no,ASIC;SoC;semiconductor design;AI accelerator or ML hardware;CPU or GPU architecture or HPC,0.86,"Resolves to Adapteva, Inc.; it is a US manycore chip company with strong technical relevance, but likely too small for robust ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
ADATA Technology (USA) Co.,company,"ADATA Technology Co., Ltd.","ADATA Technology (USA) Co., Ltd.",yes,yes,yes,yes,yes,memory design (DRAM/SRAM/NAND/flash controller);computer/server/datacenter/networking hardware,0.87,"Resolves to ADATA Technology Co., Ltd.; it has a clear US subsidiary and is relevant through memory/storage hardware with sufficient ATS usefulness.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adder Corporation,company,Adder Technology Ltd.,Adder Corporation,yes,yes,yes,no,no,computer/server/datacenter/networking hardware;embedded systems,0.82,"Resolves to Adder Technology Ltd.; it has a North America entity and makes KVM/connectivity hardware, but it is too peripheral/small for core ATS SQL targeting.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adeia Inc.,company,Adeia Inc.,,yes,yes,yes,yes,yes,semiconductor IP;SoC;semiconductor design,0.9,Resolves to Adeia Inc.; it is the active US successor to semiconductor/media IP businesses and is a substantial IP-focused employer with ATS relevance.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adesto Technologies Corporation,merged_or_renamed,Renesas Electronics Corporation,Renesas Electronics America Inc.,yes,yes,yes,yes,yes,semiconductor design;embedded systems;memory design (DRAM/SRAM/NAND/flash controller);power management IC or PMIC;RF or mmWave or wireless baseband chipset;analog or digital design;SoC;ASIC,0.96,Adesto Technologies Corporation resolves to Renesas Electronics Corporation via acquisition; Renesas is active in North America and is a strong semiconductor ATS target.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
Adient plc,company,Adient plc,Adient US LLC,yes,yes,yes,no,no,EV or automotive electronics;embedded systems;firmware,0.77,"Resolves to Adient plc; it is an active automotive supplier with NA presence and some electronics relevance, but not a strong direct VLSI/semiconductor ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
ADM Tronics Unlimited,company,"ADM Tronics Unlimited, Inc.",,yes,yes,yes,no,no,hardware validation or electronics test;analog or digital design,0.65,"Resolves to ADM Tronics Unlimited, Inc.; it appears to have some electronics/test activity in the US, but it is too small and marginal for ATS SQL inclusion.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
ADS-TEC Energy plc,company,ADS-TEC Energy plc,ADS-TEC Energy Inc.,yes,yes,yes,no,no,EV or automotive electronics;power management IC or PMIC;embedded systems;firmware,0.79,"Resolves to ADS-TEC Energy plc; it has North America presence and EV charging/power-electronics relevance, but it is not a core semiconductor/VLSI ATS employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:16+00:00
ADT Inc.,company,ADT Inc.,,yes,yes,no,no,no,,0.95,"Resolved to ADT Inc., an active North American security services company, but it is not meaningfully in the target EE/VLSI hardware categories.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
ADTRAN Holdings,company,"ADTRAN Holdings, Inc.",,yes,yes,yes,yes,yes,embedded systems;computer/server/datacenter/networking hardware;firmware;hardware validation or electronics test;analog or digital design,0.93,"Resolved to ADTRAN Holdings, Inc., an active U.S. networking hardware company with relevant telecom/network equipment engineering and real ATS-scale hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Adtran Networks North America,company,"Adtran Networks North America, Inc.",,yes,yes,yes,yes,yes,embedded systems;computer/server/datacenter/networking hardware;firmware;hardware validation or electronics test;analog or digital design,0.88,"Resolved to Adtran Networks North America, Inc., the North American Adtran entity for telecom/network hardware engineering with strong job-board relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
ADVA Optical Networking SE,merged_or_renamed,"Adtran Holdings, Inc.",,yes,yes,yes,yes,yes,embedded systems;computer/server/datacenter/networking hardware;firmware;hardware validation or electronics test;analog or digital design,0.91,"Resolved ADVA Optical Networking SE to Adtran Holdings, Inc. after acquisition; the surviving company is active in optical/networking hardware and ATS-relevant.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Acoustic Concepts,company,"Advanced Acoustic Concepts, LLC",,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design,0.67,"Resolved to Advanced Acoustic Concepts, LLC, an active U.S. underwater acoustics electronics firm with some hardware relevance, but it is defense-oriented and not a strong ATS SQL seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Battlestations,company,"Advanced Battlestations, Inc.",,yes,yes,yes,no,no,embedded systems;computer/server/datacenter/networking hardware,0.58,"Resolved to Advanced Battlestations, Inc., a U.S. tactical/defense systems company with some hardware content, but it is defense-focused and not a good ATS SQL fit.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Circuits,company,"Advanced Circuits, Inc.",,yes,yes,no,no,no,,0.88,"Resolved to Advanced Circuits, Inc., an active PCB fabrication/assembly company in North America, but not a target semiconductor/design employer for this database.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Energy Industries,company,"Advanced Energy Industries, Inc.",,yes,yes,yes,yes,yes,semiconductor foundry or manufacturing process;power management IC or PMIC;analog or digital design;hardware validation or electronics test,0.86,"Resolved to Advanced Energy Industries, Inc., an active U.S. power and semiconductor-process equipment supplier with relevant hardware engineering and ATS-scale presence.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Linear Devices,company,"Advanced Linear Devices, Inc.",,yes,yes,yes,no,no,semiconductor design;analog or digital design;power management IC or PMIC,0.83,"Resolved to Advanced Linear Devices, Inc., an active analog semiconductor company, but it appears too small/niche to be a strong ATS SQL seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Micro Devices,company,"Advanced Micro Devices, Inc.",,yes,yes,yes,yes,yes,VLSI;ASIC;SoC;semiconductor design;RTL;design verification;FPGA;firmware;embedded systems;computer/server/datacenter/networking hardware;AI accelerator or ML hardware;CPU or GPU architecture or HPC;physical design or place and route;design for test (DFT);static timing analysis or timing closure;post-silicon validation or silicon bring-up;SerDes or high-speed I/O;memory design (DRAM/SRAM/NAND/flash controller),0.99,"Resolved to Advanced Micro Devices, Inc., a major U.S. semiconductor employer directly aligned with the target VLSI/ASIC/CPU-GPU/FPGA categories and ideal for ATS seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Motion & Controls Ltd.,company,Advanced Motion & Controls Ltd.,,yes,yes,yes,no,no,embedded systems;analog or digital design,0.55,"Resolved to Advanced Motion & Controls Ltd., likely an active North American motion-control electronics company with some EE relevance, but too small/uncertain for ATS SQL use.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Space,company,"Advanced Space, LLC",,yes,yes,no,no,no,,0.86,"Resolved to Advanced Space, LLC, an active aerospace company in North America, but aerospace is outside the intended ATS SQL focus.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advanced Thermal Sciences Corporation,company,Advanced Thermal Sciences Corporation,,yes,yes,no,no,no,,0.72,"Resolved to Advanced Thermal Sciences Corporation, an active thermal/heat-transfer engineering firm, but it is not clearly a target semiconductor or hardware-design employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advantech Corporation,company,"Advantech Co., Ltd.",Advantech Corporation,yes,yes,yes,yes,yes,embedded systems;computer/server/datacenter/networking hardware;firmware;analog or digital design;hardware validation or electronics test,0.9,"Resolved to Advantech Co., Ltd. with U.S. hiring via Advantech Corporation; it is a substantial industrial/embedded hardware company with strong ATS relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advantest America,company,Advantest Corporation,"Advantest America, Inc.",yes,yes,yes,yes,yes,hardware validation or electronics test;post-silicon validation or silicon bring-up;semiconductor foundry or manufacturing process;analog or digital design,0.97,"Resolved to Advantest Corporation with North American hiring via Advantest America, Inc.; it is a major semiconductor test equipment company and excellent ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Advent Design Corporation,company,Advent Design Corporation,,yes,yes,yes,no,no,EDA;RTL;design verification;physical design or place and route;static timing analysis or timing closure,0.71,"Resolved to Advent Design Corporation, an active U.S. EDA/design-services related company, but likely too small/services-oriented to be a strong ATS SQL target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Aehr Test Systems,company,Aehr Test Systems,,yes,yes,yes,yes,yes,hardware validation or electronics test;post-silicon validation or silicon bring-up;semiconductor foundry or manufacturing process,0.95,"Resolved to Aehr Test Systems, an active U.S. semiconductor test/burn-in equipment company with direct hardware relevance and ATS usefulness.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Aeluma,company,"Aeluma, Inc.",,yes,yes,yes,no,no,semiconductor design;RF or mmWave or wireless baseband chipset;analog or digital design,0.83,"Resolved to Aeluma, Inc., an active semiconductor materials/device company with RF/photonics-adjacent chip relevance, but it appears too small for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
AEM Holdings USA,company,AEM Holdings Ltd.,"AEM Holdings USA, Inc.",yes,yes,yes,yes,yes,hardware validation or electronics test;post-silicon validation or silicon bring-up;semiconductor foundry or manufacturing process;analog or digital design,0.82,"Resolved to AEM Holdings Ltd. with U.S. hiring via AEM Holdings USA, Inc.; it is a substantial semiconductor test/handling equipment company with ATS relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Aeris Communications,company,"Aeris Communications, Inc.",,yes,yes,yes,no,no,embedded systems;EV or automotive electronics,0.69,"Resolved to Aeris Communications, Inc., an active IoT connectivity company with some automotive/embedded relevance, but it is primarily connectivity/services rather than a strong hardware ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:31+00:00
Aerobotix,company,"Aerobotix, Inc.",,yes,yes,no,no,no,,0.61,"Resolved to Aerobotix, Inc.; it appears to be an active US robotics/inspection company, but not clearly a target EE/VLSI semiconductor employer for this database.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Aerotech,company,"Aerotech, Inc.",,yes,yes,yes,yes,yes,embedded systems;hardware validation or electronics test;analog or digital design,0.8,"Resolved to Aerotech, Inc.; it is an active US motion-control and precision automation hardware company with meaningful electronics/embedded hiring and a substantial careers footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AeroVironment,company,"AeroVironment, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design,0.91,"Resolved to AeroVironment, Inc.; while active in US electronics and embedded systems, it is primarily aerospace/defense oriented and therefore not a fit for the ATS seed list.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AESC US LLC,company,AESC US LLC,AESC US LLC,yes,yes,yes,yes,yes,EV or automotive electronics,0.79,Resolved to AESC US LLC; it is the North American hiring entity for AESC battery manufacturing with substantial US presence and direct EV electronics relevance.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Aeva Technologies,company,"Aeva Technologies, Inc.",,yes,yes,yes,no,no,analog or digital design;embedded systems;hardware validation or electronics test,0.62,"Resolved to Aeva Technologies, Inc.; it is an active US sensing hardware company, but its primary focus is lidar/optics and it is less directly useful as a VLSI/ASIC ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AEye,company,"AEye, Inc.",,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design;EV or automotive electronics,0.68,"Resolved to AEye, Inc.; it is an active US automotive sensing hardware company, but it is more lidar/ADAS focused than a strong semiconductor or core digital-hardware ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AG Associates,company,AG Associates,,yes,yes,yes,no,no,semiconductor foundry or manufacturing process;hardware validation or electronics test,0.64,"Resolved to AG Associates; it appears to be an active US semiconductor processing equipment firm, but likely too small/niche for a strong ATS SQL seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AG Neovo Technology Corporation (U.S.A.),company,AG Neovo Technology Corporation,AG Neovo Technology Corporation (U.S.A.),yes,yes,no,no,no,,0.84,"Resolved to AG Neovo Technology Corporation with US subsidiary AG Neovo Technology Corporation (U.S.A.); it is mainly a display products vendor, not a target chip or embedded-hardware employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Agami Systems,company,"Agami Systems, Inc.",,yes,yes,yes,no,no,computer/server/datacenter/networking hardware;embedded systems,0.51,"Resolved to Agami Systems, Inc.; it appears to be a US networking/storage hardware company, but likely too small or obscure to be a reliable ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AGC Electronics America,company,"AGC Electronics America, Inc.","AGC Electronics America, Inc.",yes,yes,yes,no,no,EV or automotive electronics;embedded systems;analog or digital design,0.59,"Resolved to AGC Electronics America, Inc.; it has North American electronics operations, but the employer appears more components/materials oriented and not a strong direct VLSI ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AGCO Corporation,company,AGCO Corporation,,yes,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;analog or digital design,0.75,Resolved to AGCO Corporation; it is a large US agricultural machinery OEM with substantial embedded and vehicle-electronics engineering and a real ATS presence.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Agfa Corporation,company,Agfa Corporation,Agfa Corporation,yes,yes,no,no,no,,0.87,"Resolved to Agfa Corporation; despite active North American operations, it is primarily imaging/healthcare materials and not a target semiconductor or embedded-hardware employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Agilent Technologies,company,"Agilent Technologies, Inc.",,yes,yes,yes,yes,yes,hardware validation or electronics test;analog or digital design;embedded systems,0.86,"Resolved to Agilent Technologies, Inc.; it is a large active US electronic measurement and test company with substantial hardware engineering and ATS usefulness.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Agility Robotics,company,"Agility Robotics, Inc.",,yes,yes,yes,yes,yes,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.71,"Resolved to Agility Robotics, Inc.; it is an active US robotics company with meaningful embedded/electronics engineering and enough scale to be useful as an ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AGILOX North America Inc.,company,AGILOX North America Inc.,AGILOX North America Inc.,yes,yes,yes,no,no,embedded systems;firmware,0.58,"Resolved to AGILOX North America Inc.; it has NA robotics operations, but the company is not a strong direct semiconductor/VLSI ATS target and appears relatively niche.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AGM Global Vision,company,"AGM Global Vision, LLC",,yes,yes,no,no,no,,0.74,"Resolved to AGM Global Vision, LLC; it is active in thermal/night-vision products, but not clearly a target semiconductor or embedded-hardware employer for this list.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AgRobotics,company,"AgRobotics, Inc.",,yes,yes,yes,no,no,embedded systems;firmware,0.53,"Resolved to AgRobotics, Inc.; it appears to be an active US agricultural robotics company, but likely too small and niche for an ATS-focused seed table.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AIMGlobal Technologies,company,AIMGlobal Technologies,,yes,no,no,no,no,,0.31,"Resolved to AIMGlobal Technologies; the name is too ambiguous to confirm a meaningful North American hardware employer presence or direct relevance, so it should be excluded.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Airbus Americas,company,Airbus SE,"Airbus Americas, Inc.",yes,yes,yes,no,no,embedded systems;firmware;analog or digital design,0.95,"Resolved to Airbus SE via Airbus Americas, Inc.; it has large NA engineering operations, but aerospace is explicitly not a fit for the ATS seed list.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
Airgain,company,"Airgain, Inc.",,yes,yes,yes,yes,yes,RF or mmWave or wireless baseband chipset;embedded systems;analog or digital design;EV or automotive electronics,0.81,"Resolved to Airgain, Inc.; it is an active US wireless/RF hardware company with automotive and connectivity products and a suitable ATS footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:12:47+00:00
AirNet Communications Corporation,company,AirNet Communications Corporation,,no,no,yes,no,no,computer/server/datacenter/networking hardware;RF or mmWave or wireless baseband chipset,0.36,AirNet Communications Corporation appears to be a defunct/small wireless communications hardware company with no clear current hiring presence.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:13:01+00:00
Airspan Networks Holdings Inc.,company,Airspan Networks Holdings Inc.,,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;RF or mmWave or wireless baseband chipset;firmware,0.88,Airspan Networks Holdings Inc. is an active wireless network equipment company with North America operations and relevant hardware/firmware roles.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:13:01+00:00
Airy3D Inc.,company,Airy3D Inc.,,yes,yes,yes,no,no,semiconductor design;analog or digital design,0.66,"Airy3D Inc. is an active Canadian 3D imaging sensor technology company, relevant to semiconductor design but likely too small for ATS seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:13:01+00:00
