company_name,input_entity_type,canonical_company_name,na_entity_name,step1_active,step2_north_america,step3_relevant,gpt_decision,categories,confidence,rationale,prompt_version,model,checked_at
2024 Samsung Electronics strike,not_a_company,2024 Samsung Electronics strike,,no,no,no,no,,1.0,"'2024 Samsung Electronics strike' is an event description, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
2025present global memory supply shortage,not_a_company,2025present global memory supply shortage,,no,no,no,no,,1.0,"'2025present global memory supply shortage' is a market/event phrase, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
2Wire,merged_or_renamed,Pace plc,,no,no,yes,no,computer/server/datacenter/networking hardware;embedded systems;firmware,0.54,"Resolved 2Wire to Pace plc via acquisition history, but that successor brand is no longer a practical active employer to apply to.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
374Water,company,374Water Inc.,,yes,yes,no,no,,0.93,"Resolved to 374Water Inc., an active US water-treatment company with no clear EE/VLSI hardware focus for this job database.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3AM Technologies,company,"3AM Technologies, Inc.",,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware,0.58,"Resolved to 3AM Technologies, Inc., an active North American battery/energy technology company plausibly relevant to embedded and EV-adjacent electronics.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3COM,merged_or_renamed,Hewlett Packard Enterprise Company,,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware,0.83,Resolved 3Com to Hewlett Packard Enterprise Company through the HP networking acquisition chain; the successor is active in networking hardware.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3D Microcomputers,unclear,3D Microcomputers,,no,no,no,no,,0.22,'3D Microcomputers' could not be confidently resolved to a specific current company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3dfx,merged_or_renamed,NVIDIA Corporation,,yes,yes,yes,yes,CPU or GPU architecture or HPC;AI accelerator or ML hardware;ASIC;SoC;semiconductor design;post-silicon validation or silicon bring-up,0.88,Resolved 3dfx to NVIDIA Corporation via acquisition; NVIDIA is an active North American semiconductor/GPU employer.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3DLABS,merged_or_renamed,Intel Corporation,,yes,yes,yes,yes,CPU or GPU architecture or HPC;ASIC;SoC;semiconductor design;RTL;design verification;physical design or place and route;post-silicon validation or silicon bring-up,0.76,Resolved 3Dlabs to Intel Corporation through the Creative/ZiiLabs acquisition lineage; Intel is an active North American semiconductor employer.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3H,unclear,3H,,no,no,no,no,,0.14,'3H' is too ambiguous to resolve to a specific company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:07+00:00
3Laws Robotics,company,3Laws Robotics,,yes,yes,yes,yes,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.56,"Resolved to 3Laws Robotics, an active North American robotics company plausibly hiring for embedded/hardware engineering roles.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
3M,company,3M Company,,yes,yes,yes,yes,EV or automotive electronics;hardware validation or electronics test;embedded systems;analog or digital design,0.62,"Resolved to 3M Company, an active US manufacturer with electronics-related businesses and North America hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
3PAR,merged_or_renamed,Hewlett Packard Enterprise Company,,yes,yes,yes,yes,computer/server/datacenter/networking hardware,0.97,"Resolved 3PAR to Hewlett Packard Enterprise Company, the active successor with major North America datacenter hardware operations.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
3R Computers,company,3R Computers,,yes,no,no,no,,0.28,"Resolved to 3R Computers, but I lack concrete evidence of a meaningful US/Canada hiring presence or target EE/VLSI relevance.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4-D Neuroimaging,company,4-D Neuroimaging,,yes,yes,no,no,,0.73,"Resolved to 4-D Neuroimaging, an active US neuroimaging instrumentation company, but not clearly a target semiconductor/hardware-design employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4Cable TV International,company,4Cable TV International,,yes,no,no,no,,0.21,"Resolved to 4Cable TV International, but I cannot verify meaningful North America hiring presence or relevant EE/VLSI hardware-design activity.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4D Systems,company,4D Systems Pty Ltd,,yes,no,yes,no,embedded systems;firmware;analog or digital design,0.67,"Resolved to 4D Systems Pty Ltd, which makes embedded display modules and related electronics, but I lack concrete evidence of a US/Canada hiring entity.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4DMedical,company,4DMedical Limited,,yes,yes,no,no,,0.7,"Resolved to 4DMedical Limited, an active medical imaging company with North America presence, but not clearly in the target EE/VLSI hardware-design domains.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4JMSolutions,company,4JMSolutions,,yes,no,no,no,,0.18,"Resolved to 4JMSolutions, but I cannot verify a concrete US/Canada hiring presence or relevant semiconductor/electronics engineering focus.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4moms,company,"Thorley Industries, LLC",,yes,yes,yes,yes,embedded systems;firmware;analog or digital design,0.58,"Resolved 4moms to Thorley Industries, LLC, an active US consumer hardware company plausibly employing embedded electronics engineers.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
4XROBOTS,company,4XROBOTS,,yes,no,yes,no,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.34,"Resolved to 4XROBOTS, a robotics-related company plausibly relevant to embedded hardware, but with no verified meaningful North America hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
5000-series,not_a_company,5000-series,,no,no,no,no,,0.99,'5000-series' is a product/model family label rather than a company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
5BARz International,company,5BARz International Inc.,,yes,yes,yes,yes,RF or mmWave or wireless baseband chipset;embedded systems;analog or digital design,0.83,"Resolved to 5BARz International Inc., an active North America wireless signal-boosting electronics company relevant to RF hardware engineering.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
65amps,company,65amps,,yes,yes,no,no,,0.74,"Resolved to 65amps, an active US guitar amplifier maker, but it is not a target semiconductor or mainstream EE/VLSI employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
6d bytes,company,6d bytes,,yes,no,no,no,,0.16,"Resolved to 6d bytes, but I cannot verify a concrete North America hiring presence or relevant hardware/semiconductor engineering business.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
7robotics,company,7robotics,,yes,no,yes,no,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.31,"Resolved to 7robotics, a robotics-related company plausibly relevant to embedded hardware, but without verified meaningful US/Canada hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
80/20,company,80/20 LLC,,yes,yes,no,no,,0.86,"Resolved to 80/20 LLC, an active US industrial framing company, but not a target semiconductor/electronics design employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
8BitDo,company,8BitDo Tech HK Limited,8BitDo Tech USA,yes,yes,yes,yes,embedded systems;firmware;analog or digital design,0.72,"Resolved to 8BitDo Tech HK Limited, a game-controller hardware company with North America presence and relevant embedded electronics work.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
908 Devices,company,908 Devices Inc.,,yes,yes,yes,yes,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.84,"Resolved to 908 Devices Inc., an active US instrumentation company with electronics/embedded hardware engineering roles in North America.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
999 phone charging myth,not_a_company,999 phone charging myth,,no,no,no,no,,0.99,"'999 phone charging myth' is an article/topic phrase, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:20+00:00
A Automobile,unclear,A Automobile,,no,no,no,no,,0.22,'A Automobile' is too ambiguous to resolve to a specific current company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A Sun Photonics,company,"A Sun Photonics, Inc.",,yes,yes,no,no,,0.63,"Resolved to A Sun Photonics, Inc., a US photonics/optics company, but optics-only activity is not in the target EE/VLSI categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A&d,company,"A&D Company, Limited","A&D Engineering, Inc.",yes,yes,yes,yes,hardware validation or electronics test,0.72,"Resolved to A&D Company, Limited with North American hiring via A&D Engineering, Inc.; its electronic measurement and test equipment makes it relevant.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A-Max Technology,unclear,A-Max Technology,,no,no,no,no,,0.24,'A-Max Technology' is too ambiguous to confidently resolve to a specific current company with known NA presence.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A-sat,unclear,A-sat,,no,no,no,no,,0.21,'A-sat' is too ambiguous and may refer to multiple entities or a concept rather than a specific company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A. B. Dick,defunct,A.B. Dick Company,,no,no,no,no,,0.93,"A.B. Dick Company was a historical printing equipment firm and is defunct, so it is not an active employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A. O. Smith,company,A. O. Smith Corporation,,yes,yes,no,no,,0.9,"Resolved to A. O. Smith Corporation, an active US water-heating and treatment manufacturer, but not a target EE/VLSI employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A. Philip Randolph Pullman Porter Museum,not_a_company,A. Philip Randolph Pullman Porter Museum,,no,no,no,no,,0.99,"A. Philip Randolph Pullman Porter Museum is a museum/nonprofit, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A.D. Meiselbach Motor Wagon,defunct,A.D. Meiselbach Motor Wagon Company,,no,no,no,no,,0.95,A.D. Meiselbach Motor Wagon Company was an early historical vehicle maker and is defunct.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A.G.S. Electronics,unclear,A.G.S. Electronics,,no,no,no,no,,0.28,'A.G.S. Electronics' is too ambiguous to confidently resolve to a specific active company.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A.M. Dodge,defunct,A.M. Dodge Company,,no,no,no,no,,0.78,A.M. Dodge appears to refer to a historical company rather than a current active employer.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A10 Networks,company,"A10 Networks, Inc.",,yes,yes,yes,yes,computer/server/datacenter/networking hardware,0.95,"Resolved to A10 Networks, Inc., an active US networking company with relevant datacenter/networking hardware products.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A123 Systems,company,A123 Systems LLC,,yes,yes,yes,yes,EV or automotive electronics,0.92,"Resolved to A123 Systems LLC, an active US battery technology company relevant to EV and automotive electronics.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
A4Tech,company,"A4Tech Co., Ltd.",,yes,no,yes,no,computer/server/datacenter/networking hardware;embedded systems;firmware,0.56,"Resolved to A4Tech Co., Ltd., a peripheral hardware maker, but I lack concrete evidence of a meaningful US/Canada hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
AA Portable Power,company,AA Portable Power Corp.,,yes,yes,no,no,,0.67,"Resolved to AA Portable Power Corp., an active US battery/portable power company, but it does not clearly fit the target chip/hardware-design categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
Aachen,not_a_company,Aachen,,no,no,no,no,,0.99,"Aachen is a city, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
AAE North America,company,"Advanced Acoustic Concepts, LLC",,yes,yes,yes,yes,embedded systems;firmware;analog or digital design,0.61,"Resolved 'AAE North America' to Advanced Acoustic Concepts, LLC, a US defense electronics company with relevant embedded/electronic engineering work.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
Aaeon,company,AAEON Technology Inc.,AAEON Technology Inc. USA,yes,yes,yes,yes,embedded systems;computer/server/datacenter/networking hardware;firmware,0.94,"Resolved to AAEON Technology Inc., which has North American hiring via AAEON Technology Inc. USA and builds embedded/industrial computing hardware.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
Aaon,company,"AAON, Inc.",,yes,yes,no,no,,0.93,"Resolved to AAON, Inc., an active US HVAC manufacturer, but it is not primarily a target EE/VLSI employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
Aar,company,AAR CORP.,,yes,yes,no,no,,0.84,"Resolved to AAR CORP., an active aerospace services company, but its core business is not clearly in the target semiconductor/electronics design categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:33+00:00
Aastra Technologies,merged_or_renamed,Mitel Networks Corporation,,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware,0.78,"Aastra Technologies was acquired into Mitel Networks Corporation, which remains active in North America and makes telecom/communications hardware with embedded systems and firmware roles.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Aavid Thermal Technologies,company,"Aavid Thermalloy, LLC",,yes,yes,no,no,,0.72,"Aavid Thermal Technologies resolves to Aavid Thermalloy, LLC, an active North American thermal-management company, but it is primarily components/cooling rather than the target chip/EE design categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
AB Liquidating,defunct,AB Liquidating Corp.,,no,no,no,no,,0.86,AB Liquidating Corp. is a liquidation shell/defunct entity rather than an operating employer.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abadal,company,Abadal,,no,no,no,no,,0.34,"Abadal most commonly refers to a historic defunct automaker/brand, not a current North American electronics employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abarth,merged_or_renamed,Stellantis N.V.,FCA US LLC,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware,0.84,Abarth is a vehicle marque within Stellantis N.V.; Stellantis hires in North America via FCA US LLC and is relevant through automotive electronics and embedded systems.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abaxis,merged_or_renamed,Zoetis Inc.,,yes,yes,no,no,,0.83,"Abaxis was acquired by Zoetis Inc., which is active in North America, but its core business is veterinary diagnostics/pharma rather than target EE/VLSI areas.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
ABB,company,ABB Ltd,ABB Inc.,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;hardware validation or electronics test;analog or digital design,0.86,"ABB Ltd is an active industrial electrification/automation company with ABB Inc. in North America and relevant electronics, embedded, and EV-related engineering.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
ABB Finance (USA),product_line,ABB Ltd,ABB Inc.,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;hardware validation or electronics test;analog or digital design,0.74,"ABB Finance (USA) resolves upward to ABB Ltd/ABB Inc.; despite the finance label, the canonical company is an active North American industrial electronics employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
ABB Group,company,ABB Ltd,ABB Inc.,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;hardware validation or electronics test;analog or digital design,0.93,"ABB Group resolves to ABB Ltd, which actively hires in North America via ABB Inc. and has substantial industrial electronics and embedded engineering work.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abbot-Downing,defunct,Abbot-Downing Company,,no,no,no,no,,0.95,"Abbot-Downing Company was a historic stagecoach manufacturer and is defunct, not an active employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abbott,company,Abbott Laboratories,,yes,yes,yes,yes,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.76,"Abbott resolves to Abbott Laboratories, an active North American medical-device company with embedded electronics and hardware engineering roles.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abbott Laboratories,company,Abbott Laboratories,,yes,yes,yes,yes,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.95,Abbott Laboratories is an active US medical-device employer with relevant embedded electronics and hardware engineering work.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abbott Medical Optics,merged_or_renamed,Johnson & Johnson,,yes,yes,yes,yes,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.63,"Abbott Medical Optics was acquired by Johnson & Johnson, which remains active in North America and includes medical-device electronics engineering.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abbott-Detroit,defunct,Abbott-Detroit,,no,no,no,no,,0.9,"Abbott-Detroit refers to a historic defunct automobile company, not a current employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
AbbVie,company,AbbVie Inc.,,yes,yes,no,no,,0.93,"AbbVie Inc. is an active North American biopharma company, but it is not primarily in the target EE/VLSI/hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abc,unclear,Abc,,no,no,no,no,,0.12,Abc is too ambiguous to resolve to a specific current company for job-board use.,v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abc Dispensing Technologies,company,"ABC Dispensing Technologies, Inc.",,yes,yes,yes,yes,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.58,"ABC Dispensing Technologies, Inc. appears to be an active North American automation/equipment company with plausible embedded and electronics engineering relevance.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abe George Allan,not_a_company,Abe George Allan,,no,no,no,no,,0.94,"Abe George Allan appears to be a person's name, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abendroth & Root Manufacturing,defunct,Abendroth & Root Manufacturing Company,,no,no,no,no,,0.88,"Abendroth & Root Manufacturing Company is a historic defunct manufacturer, not a current employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
Abercrombie & Fitch,company,Abercrombie & Fitch Co.,,yes,yes,no,no,,0.98,"Abercrombie & Fitch Co. is an active North American apparel retailer, but it is not relevant to the target EE/VLSI/hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:02:47+00:00
ABICOR Binzel,company,Alexander Binzel Schweisstechnik GmbH & Co. KG,"ABICOR BINZEL USA, Inc.",yes,yes,no,no,,0.84,"Resolved ABICOR Binzel to Alexander Binzel Schweisstechnik GmbH & Co. KG with a US subsidiary, but it is primarily welding equipment rather than EE/VLSI-target hardware design.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Ability,unclear,Ability,,no,no,no,no,,0.22,Ability is too ambiguous to resolve to a specific current company relevant for the database.,v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Abiomed,company,"Abiomed, Inc.",,yes,yes,no,no,,0.92,"Resolved to Abiomed, Inc., an active US medical device company, but not a meaningful target for the listed semiconductor/EE hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
ABL IP Holding,company,ABL IP Holding LLC,,yes,yes,no,no,,0.41,"Resolved to ABL IP Holding LLC, but it appears to be an IP holding entity rather than an operating EE/VLSI employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
ABM Industries,company,ABM Industries Incorporated,,yes,yes,no,no,,0.97,"Resolved to ABM Industries Incorporated, an active US facilities/services company with no relevant semiconductor or hardware design business.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Abound Solar,defunct,"Abound Solar, Inc.",,no,no,no,no,,0.98,"Resolved to Abound Solar, Inc., which is defunct and not an active employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Abraham Lincoln,not_a_company,Abraham Lincoln,,no,no,no,no,,0.99,"Abraham Lincoln is a historical person, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Abresch-Cramer Auto Truck,company,Abresch-Cramer Auto Truck Company,,yes,yes,no,no,,0.63,"Resolved to Abresch-Cramer Auto Truck Company, an active US truck equipment/dealer business, but not a target semiconductor or electronics design employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Abrizio,company,Abrizio,,yes,yes,no,no,,0.55,"Resolved to Abrizio as an active US company, but there is no clear evidence it operates in the listed EE/VLSI hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Abs,unclear,Abs,,no,no,no,no,,0.14,Abs is too ambiguous to resolve to a specific current company.,v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
ABS Friction,company,ABS Friction Inc.,,yes,yes,no,no,,0.9,"Resolved to ABS Friction Inc., an active brake/friction products company, but not a semiconductor or electronics design employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
AC Cars,company,AC Cars Ltd,,yes,no,yes,no,EV or automotive electronics,0.56,"Resolved to AC Cars Ltd, an active automotive manufacturer, but I lack concrete evidence of a meaningful US/Canada hiring presence; automotive electronics makes it marginally relevant.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
AC Propulsion,company,"AC Propulsion, Inc.",,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware;analog or digital design,0.86,"Resolved to AC Propulsion, Inc., an active US electric vehicle powertrain company relevant to automotive electronics and embedded hardware.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acacia Communications,merged_or_renamed,"Cisco Systems, Inc.",,yes,yes,yes,yes,computer/server/datacenter/networking hardware;RF or mmWave or wireless baseband chipset;ASIC;SoC;semiconductor design;hardware validation or electronics test;SerDes or high-speed I/O,0.96,"Resolved Acacia Communications to Cisco Systems, Inc., its current parent, which actively hires in NA and is relevant for networking hardware and custom silicon.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Academy Sports + Outdoors,company,"Academy Sports and Outdoors, Inc.",,yes,yes,no,no,,0.99,"Resolved to Academy Sports and Outdoors, Inc., an active retail company with no relevant semiconductor or hardware design business.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acadia Healthcare,company,"Acadia Healthcare Company, Inc.",,yes,yes,no,no,,0.99,"Resolved to Acadia Healthcare Company, Inc., an active healthcare services company not relevant to the listed EE/VLSI categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acadia Pharmaceuticals,company,Acadia Pharmaceuticals Inc.,,yes,yes,no,no,,0.99,"Resolved to Acadia Pharmaceuticals Inc., an active biopharma company not relevant to semiconductor or electronics design.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acadia Realty Trust,company,Acadia Realty Trust,,yes,yes,no,no,,0.99,"Resolved to Acadia Realty Trust, an active real estate company with no relevant EE/VLSI business.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acadian,unclear,Acadian,,no,no,no,no,,0.18,Acadian is ambiguous and cannot be confidently resolved to a specific current company for this database.,v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acadian Asset Management,company,Acadian Asset Management LLC,,yes,yes,no,no,,0.99,"Resolved to Acadian Asset Management LLC, an active investment management firm not relevant to the listed EE/VLSI categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:00+00:00
Acason Motor Truck,company,Acason Motor Truck,,no,no,yes,no,EV or automotive electronics,0.28,"Resolved to Acason Motor Truck, but I cannot verify it as a currently operating company with North America hiring presence; it appears automotive-related.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
ACBA Merger Sub I,company,"ACBA Merger Sub I, Inc.",,yes,yes,no,no,,0.62,"Resolved to ACBA Merger Sub I, Inc., a merger vehicle rather than a real EE/VLSI employer, so it is not relevant despite being an active North American legal entity.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
ACC Micro,company,ACC Micro,,no,no,yes,no,semiconductor design,0.31,"Resolved to ACC Micro, but I cannot confirm an active operating company or North America presence; the name suggests a microelectronics business.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
Accel Brands,company,"Accel Brands, Inc.",,yes,yes,no,no,,0.78,"Resolved to Accel Brands, Inc., which appears to be an active North American consumer-brand business, not an EE/VLSI employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
Accelerate Diagnostics,company,"Accelerate Diagnostics, Inc.",,yes,yes,no,no,,0.9,"Resolved to Accelerate Diagnostics, Inc., an active US diagnostics company rather than a target semiconductor or hardware-design employer.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
Accelgraphics,company,"AccelGraphics, Inc.",,no,no,yes,no,computer/server/datacenter/networking hardware,0.34,"Resolved to AccelGraphics, Inc., but I cannot verify current operations or North America hiring presence; the name suggests graphics hardware relevance.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
Accellent,merged_or_renamed,Integer Holdings Corporation,,yes,yes,no,no,,0.86,"Resolved Accellent to Integer Holdings Corporation, an active US medical-device manufacturer, not a target EE/VLSI company.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
Accent Color Sciences,company,"Accent Color Sciences, Inc.",,no,no,no,no,,0.63,"Resolved to Accent Color Sciences, Inc., but I cannot verify it as an active North American employer and it does not appear relevant to the target hardware/chip categories.",v3-precision-step2,gpt-5.4,2026-07-02T08:03:13+00:00
